,rmindfs,rmaxdfs,rmaxfts,smindfs,smaxdfs,smaxfts,accuracy
38,0.0,0.1,500.0,0.0125,0.2,2325.0,0.7317557855861445
39,0.0,0.1,500.0,0.0125,0.2,3000.0,0.7317557855861445
40,0.0,0.1,500.0,0.0125,0.30000000000000004,300.0,0.7317557855861445
41,0.0,0.1,500.0,0.0125,0.30000000000000004,975.0,0.7317557855861445
42,0.0,0.1,500.0,0.0125,0.30000000000000004,1650.0,0.7317557855861445
43,0.0,0.1,500.0,0.0125,0.30000000000000004,2325.0,0.7317557855861445
44,0.0,0.1,500.0,0.0125,0.30000000000000004,3000.0,0.7317557855861445
45,0.0,0.1,500.0,0.0125,0.4,300.0,0.7317557855861445
46,0.0,0.1,500.0,0.0125,0.4,975.0,0.7317557855861445
47,0.0,0.1,500.0,0.0125,0.4,1650.0,0.7317557855861445
48,0.0,0.1,500.0,0.0125,0.4,2325.0,0.7317557855861445
49,0.0,0.1,500.0,0.0125,0.4,3000.0,0.7317557855861445
50,0.0,0.1,500.0,0.0125,0.5,300.0,0.7317557855861445
51,0.0,0.1,500.0,0.0125,0.5,975.0,0.7317557855861445
52,0.0,0.1,500.0,0.0125,0.5,1650.0,0.7317557855861445
53,0.0,0.1,500.0,0.0125,0.5,2325.0,0.7317557855861445
54,0.0,0.1,500.0,0.0125,0.5,3000.0,0.7317557855861445
55,0.0,0.1,500.0,0.0125,0.6,300.0,0.7317557855861445
56,0.0,0.1,500.0,0.0125,0.6,975.0,0.7317557855861445
57,0.0,0.1,500.0,0.0125,0.6,1650.0,0.7317557855861445
58,0.0,0.1,500.0,0.0125,0.6,2325.0,0.7317557855861445
59,0.0,0.1,500.0,0.0125,0.6,3000.0,0.7317557855861445
60,0.0,0.1,500.0,0.025,0.1,300.0,0.7187035746990775
61,0.0,0.1,500.0,0.025,0.1,975.0,0.7187035746990775
62,0.0,0.1,500.0,0.025,0.1,1650.0,0.7187035746990775
63,0.0,0.1,500.0,0.025,0.1,2325.0,0.7187035746990775
64,0.0,0.1,500.0,0.025,0.1,3000.0,0.7187035746990775
65,0.0,0.1,500.0,0.025,0.2,300.0,0.71994276059254
66,0.0,0.1,500.0,0.025,0.2,975.0,0.71994276059254
67,0.0,0.1,500.0,0.025,0.2,1650.0,0.71994276059254
68,0.0,0.1,500.0,0.025,0.2,2325.0,0.71994276059254
69,0.0,0.1,500.0,0.025,0.2,3000.0,0.71994276059254
70,0.0,0.1,500.0,0.025,0.30000000000000004,300.0,0.71994276059254
71,0.0,0.1,500.0,0.025,0.30000000000000004,975.0,0.71994276059254
72,0.0,0.1,500.0,0.025,0.30000000000000004,1650.0,0.71994276059254
73,0.0,0.1,500.0,0.025,0.30000000000000004,2325.0,0.71994276059254
74,0.0,0.1,500.0,0.025,0.30000000000000004,3000.0,0.71994276059254
75,0.0,0.1,500.0,0.025,0.4,300.0,0.71994276059254
76,0.0,0.1,500.0,0.025,0.4,975.0,0.71994276059254
77,0.0,0.1,500.0,0.025,0.4,1650.0,0.71994276059254
78,0.0,0.1,500.0,0.025,0.4,2325.0,0.71994276059254
79,0.0,0.1,500.0,0.025,0.4,3000.0,0.71994276059254
80,0.0,0.1,500.0,0.025,0.5,300.0,0.71994276059254
81,0.0,0.1,500.0,0.025,0.5,975.0,0.71994276059254
82,0.0,0.1,500.0,0.025,0.5,1650.0,0.71994276059254
83,0.0,0.1,500.0,0.025,0.5,2325.0,0.71994276059254
84,0.0,0.1,500.0,0.025,0.5,3000.0,0.71994276059254
85,0.0,0.1,500.0,0.025,0.6,300.0,0.71994276059254
86,0.0,0.1,500.0,0.025,0.6,975.0,0.71994276059254
87,0.0,0.1,500.0,0.025,0.6,1650.0,0.71994276059254
88,0.0,0.1,500.0,0.025,0.6,2325.0,0.71994276059254
89,0.0,0.1,500.0,0.025,0.6,3000.0,0.71994276059254
90,0.0,0.1,500.0,0.037500000000000006,0.1,300.0,0.6965889944088154
91,0.0,0.1,500.0,0.037500000000000006,0.1,975.0,0.6965889944088154
92,0.0,0.1,500.0,0.037500000000000006,0.1,1650.0,0.6965889944088154
93,0.0,0.1,500.0,0.037500000000000006,0.1,2325.0,0.6965889944088154
94,0.0,0.1,500.0,0.037500000000000006,0.1,3000.0,0.6965889944088154
95,0.0,0.1,500.0,0.037500000000000006,0.2,300.0,0.7181186021056463
96,0.0,0.1,500.0,0.037500000000000006,0.2,975.0,0.7181186021056463
97,0.0,0.1,500.0,0.037500000000000006,0.2,1650.0,0.7181186021056463
98,0.0,0.1,500.0,0.037500000000000006,0.2,2325.0,0.7181186021056463
99,0.0,0.1,500.0,0.037500000000000006,0.2,3000.0,0.7181186021056463
